Date,LLOY.L,BARC.L,VOD.L,RIO.L,NG.L,BATS.L,GSK.L,Relx,BP.L,SGE.L,SMIN.L,ASC.L,DOM.L,LAND.L,TSCO.L
01/01/2009,-0.280159068,-0.308344025,-0.066906464,0.010738064,-0.032669112,0.055555454,-0.050603298,0.026706265,-0.059885994,0.065294173,-0.032203232,0.103134479,0.289788653,-0.237296239,-0.004999875
01/02/2009,-0.357221065,-0.119698889,-0.03469507,0.195883419,-0.033178787,-0.054210317,-0.123411203,0.010597188,-0.093528897,-0.057427171,-0.028604986,0.191567369,-0.018625737,-0.20377088,-0.069793647
01/03/2009,0.212692393,0.584583399,-0.019569266,0.337466975,-0.145251294,-0.102392952,0.031326319,-0.044804622,0.073268218,0.017415624,-0.195913495,-0.073076923,0.066428673,-0.103772852,0.000600149
01/04/2009,0.58415922,0.902026824,0.015886823,0.180425609,0.054154904,0.051837574,-0.035401783,0.006986232,0.023329864,0.096335813,0.09641268,0.284647303,-0.090100426,0.342604059,0.011397799
01/05/2009,-0.377678391,0.056838324,-0.06976818,0.009372666,0.060230188,0.029896136,0.00677592,0.018730113,0.059067559,0.024258563,1.70E-05,-0.00129199,0.019405167,-0.134666806,0.108889468
01/06/2009,0.028381161,-0.04873982,0.01034528,-0.089963319,-0.085213182,-0.008886163,0.025432194,-0.092277165,-0.047310009,-0.050212284,-0.028393137,-0.120310479,0.00121592,-0.031843945,-0.030967507
01/07/2009,0.215501585,0.068198205,0.134224265,0.182422766,0.060753805,0.11057962,0.075338913,-0.064640484,0.040602829,0.097136443,0.026371894,0.022058824,0.16403451,0.14956267,0.039310025
01/08/2009,0.309881376,0.257856504,0.082315024,-0.030333612,0.060877273,0.008611559,0.059660914,0.056113216,0.069991367,0.129477603,0.113888843,-0.050359712,0.01505378,0.15636712,0.022857167
01/09/2009,-0.068617882,-0.026956153,0.05572289,0.105656039,0.019409324,0.063102365,0.022028018,0.060378388,0.057043435,0.057544096,0.107855399,0.060606061,0.219206621,0.012145245,0.063048555
01/10/2009,-0.160752382,-0.129729605,-0.040299767,0.009181123,0.004139109,-0.010188097,0.016673681,-0.013025648,0.034900571,-0.085261407,0.005064938,0.125714286,0.046232861,0.070563125,0.019394406
01/11/2009,-0.048330701,-0.092080423,0.0189517,0.146676561,0.089035343,-0.049408235,0.005600038,-0.016443277,0.004018904,-0.00093696,0.094847175,0.124365482,-0.044516651,-0.005286596,0.049202103
01/12/2009,-0.080870323,-0.052919915,0.084678505,0.097797857,0.028008956,0.091770509,0.062696965,0.125165055,0.059401083,0.031411485,0.062893206,0.100451467,0.020897044,0.040242676,0.011820366
01/01/2010,0.010061196,-0.019746428,-0.063674293,-0.085840864,-0.051306192,0.026779238,-0.07805978,-0.02248279,-0.021833326,0.075908911,-0.013807026,-0.113846154,0.069798369,-0.054885943,-0.005724264
01/02/2010,0.025390664,0.155054841,0.051282223,0.085511419,0.033280404,0.076792793,-0.002055204,-0.016000121,-0.013971736,0.000422427,0.039000169,0.087962963,0.053952853,-0.012490624,-0.013747005
01/03/2010,0.195618961,0.15853393,0.074584591,0.174424479,-0.016104196,0.0188384,0.058051666,0.068089403,0.093376782,0.030961475,0.093358948,0.10106383,0.017884449,0.083707094,0.03752676
01/04/2010,0.053528832,-0.061199085,-0.04374966,-0.134699169,-0.019485536,-0.066782051,-0.043066086,-0.020932484,-0.076836858,0.025512436,0.00136571,0.212560386,0.030501177,-0.028023548,-0.000688884
01/05/2010,-0.143807752,-0.098004175,-0.049535906,-0.056229564,-0.104498955,-0.005599261,-0.044591427,-0.036681982,-0.140225715,-0.03058722,-0.082519859,0.077290837,0.01609101,-0.08801206,-0.034404982
01/06/2010,-0.05157185,-0.110508158,0.00723797,-0.06914384,-0.016622911,0.046022303,0.000253826,0.036129704,-0.355497108,-0.015025508,0.036750707,0.272189349,0.074661224,-0.070715387,-0.076652077
01/07/2010,0.289757981,0.230086962,0.151595744,0.11318825,0.091584522,0.026913607,-0.027996257,0.106212471,0.272969368,0.031519802,0.04104458,0.05755814,0.076842275,0.109386786,0.027891087
01/08/2010,0.00332084,-0.091346123,0.056470642,-0.001361717,0.077526978,0.010026748,0.113470215,-0.050724514,-0.062445858,0.025115298,0.025985621,0.047278725,0.062686957,-0.001633008,0.041725442
01/09/2010,0.066628207,-0.006280729,-0.000318025,0.137044546,-0.016393517,0.087355619,0.02743659,0.036696492,0.124014502,0.128215698,0.064629069,0.19160105,0.091584591,0.047424961,0.041897158
01/10/2010,-0.069886658,-0.083444664,0.081158704,0.084654783,0.092592475,0.002316142,-0.026703926,-0.005576334,-0.004675038,-0.024973081,-0.022149474,0.24845815,0.038543648,0.068484507,0.006721694
01/11/2010,-0.12373075,-0.067188688,-0.053576821,0.010777967,-0.037288064,-0.020798287,0.005345128,-0.048598129,0.000352527,-0.044914308,-0.027009813,-0.066337332,0.078532058,-0.07090088,-0.019599745
01/12/2010,0.087568161,0.025216138,0.062657809,0.099766925,-0.026408379,0.057069475,0.023102033,0.063850769,0.092968666,0.062572524,0.094024683,0.203325775,0.048478927,0.071542041,0.02582688
01/01/2011,-0.038356253,0.122683295,0.057600158,-0.046026707,0.022313675,-0.064339552,-0.089919493,0.020313781,0.041456066,0.079370954,0.092369443,-0.055904523,-0.020851451,0.01200411,-0.052470677
01/02/2011,-0.019309613,0.08885063,-0.005988562,0.006892309,0.033484273,0.068112901,0.046522222,-0.005429761,0.020315448,-0.036597458,-0.016911658,0.252162342,-0.140000454,0.136397192,0.003724588
